Id,latitude,longitude,descRegion,descCountry,descAdmin1,descLocality,descQuality,observationDate,obsdate_amer,reportDate,status,descDisease,descDiseaseType,speciesDescription,sumAtRisk,sumCases,sumDeaths,sumDestroyed,sumSlaughtered,sumVaccinated
131400,28.988245,30.7535591,Africa,Egypt,Beni Suwayf (beni-suef),Beni Suwayf (beni-suef),Unknown,07/04/2009,7-Apr-2009,15/04/2009,Confirmed,Highly pathogenic avian influenza,H5,"Domestic,unspecified bird,",,34,,,,
131399,29.98346,32.55542,Africa,Egypt,As Suways (suez),Al Heisha,Unknown,10/04/2009,10-Apr-2009,14/04/2009,Confirmed,Highly pathogenic avian influenza,H5,"Domestic,chicken,",,12,,,,
132153,30.00388,31.15416,Africa,Egypt,Al Jizah (giza),Takseim abu elmaatei â€“ kaabeish â€“ Feisal  in,Unknown,14/04/2009,14-Apr-2009,16/04/2009,Confirmed,Highly pathogenic avian influenza,H5,"Domestic,unspecified bird,",,25,,,,
132152,31.26222,30.92083,Africa,Egypt,Kafr-el-sheikh,Ezbet Abu Fayed,Unknown,14/04/2009,14-Apr-2009,16/04/2009,Confirmed,Highly pathogenic avian influenza,H5,"Domestic,chicken,",,70,,,,
132146,31.4378567,30.8586903,Africa,Egypt,Kafr-el-sheikh,Kafr-el-sheikh,Unknown,15/04/2009,15-Apr-2009,22/04/2009,Confirmed,Highly pathogenic avian influenza,H5N1,Human,,,,,,
132150,30.63222,31.93666,Africa,Egypt,Ash Sharqiyah (sharkia),As Salihiyah al Jadidah,Unknown,16/04/2009,16-Apr-2009,16/04/2009,Confirmed,Highly pathogenic avian influenza,H5,"Domestic,chicken,",,3500,,,,
132158,26.4933167,31.866087,Africa,Egypt,Suhaj,Suhaj,Unknown,18/04/2009,18-Apr-2009,21/04/2009,Confirmed,Highly pathogenic avian influenza,H5N1,Human,,,,,,
132154,30.65416,30.98777,Africa,Egypt,Al Minufiyah (menoufia),Betebs (Shebin Elkom city),Unknown,18/04/2009,18-Apr-2009,21/04/2009,Confirmed,Highly pathogenic avian influenza,H5,"Domestic,chicken,",,17,,,,
132147,31.09638,30.7925,Africa,Egypt,Kafr-el-sheikh,Shabas Emair village (Kellin District),Unknown,19/04/2009,19-Apr-2009,21/04/2009,Confirmed,Highly pathogenic avian influenza,H5,"Domestic,chicken,",,30,,,,
132391,30.7911111,30.9980556,Africa,Egypt,Al Gharbiyah (gharbia),Tanta,Unknown,21/04/2009,21-Apr-2009,07/05/2009,Confirmed,Highly pathogenic avian influenza,H5N1,Human,,,,,,
132608,26.4933167,31.866087,Africa,Egypt,Suhaj,Suhaj,Unknown,21/04/2009,21-Apr-2009,10/05/2009,Confirmed,Highly pathogenic avian influenza,H5,"Domestic,unspecified bird,",,,,,,
132176,25.68333,32.65,Africa,Egypt,Qina,Luxor,Unknown,21/04/2009,21-Apr-2009,22/04/2009,Confirmed,Highly pathogenic avian influenza,H5,"Domestic,chicken,",,8,,8,,
132172,30.915,30.99639,Africa,Egypt,Al Gharbiyah (gharbia),Simila (Kotour district),Unknown,23/04/2009,23-Apr-2009,26/04/2009,Confirmed,Highly pathogenic avian influenza,H5,"Domestic,chicken,Domestic,duck,",,42,,42,,
132173,29.970633,30.891497,Africa,Egypt,Al Jizah (giza),Alhezam Alakhder  Area ( 6th October),Unknown,23/04/2009,23-Apr-2009,26/04/2009,Confirmed,Highly pathogenic avian influenza,H5,"Domestic,chicken,Domestic,duck,",,11,,11,,
132171,30.51083,31.27833,Africa,Egypt,Al Qalyubiyah (kalyoubia),Ash Shuqr village (Kafr Shoukr distrcit),Unknown,23/04/2009,23-Apr-2009,23/04/2009,Confirmed,Highly pathogenic avian influenza,H5,"Domestic,chicken,",,4000,,4000,,
132174,28.57,30.825,Africa,Egypt,Al Minya (menia),Algundia (Beni Mazar),Unknown,28/04/2009,28-Apr-2009,30/04/2009,Confirmed,Highly pathogenic avian influenza,H5,"Domestic,duck,",,2,,2,,
132175,30.51083,30.99806,Africa,Egypt,Al Minufiyah (menoufia),Kafr Hamam (Tala),Unknown,28/04/2009,28-Apr-2009,30/04/2009,Confirmed,Highly pathogenic avian influenza,H5,"Domestic,chicken,Domestic,duck,",,40,,40,,
132609,30.8283653,31.0795479,Africa,Egypt,Al Gharbiyah (gharbia),Al Gharbiyah (gharbia),Unknown,29/04/2009,29-Apr-2009,10/05/2009,Confirmed,Highly pathogenic avian influenza,H5,"Domestic,chicken,",,40,,,,
132187,25.61667,32.56667,Africa,Egypt,Qina,Almeries village (Luxor),Unknown,02/05/2009,2-May-2009,03/05/2009,Confirmed,Highly pathogenic avian influenza,H5,"Domestic,chicken,",,29,,,,
132404,31.075,31.20056,Africa,Egypt,Al Gharbiyah (gharbia),Mahalet Alkasab Village (El Mahala El Kobra district),Unknown,06/05/2009,6-May-2009,07/05/2009,Confirmed,Highly pathogenic avian influenza,H5,"Domestic,duck,",,9,,9,,
132544,26.4933167,31.866087,Africa,Egypt,Suhaj,Suhaj,Unknown,07/05/2009,7-May-2009,15/05/2009,Confirmed,Highly pathogenic avian influenza,H5N1,Human,,,,,,
132407,31.16833,30.86444,Africa,Egypt,Kafr-el-sheikh,Algwahergi - Alhamra Village (Kafr Elsheikh district),Unknown,07/05/2009,7-May-2009,08/05/2009,Confirmed,Highly pathogenic avian influenza,H5,"Domestic,duck,",,4,,4,,
132405,30.53194,31.25167,Africa,Egypt,Al Gharbiyah (gharbia),Isunit Village (Kafr Shokr district),Unknown,07/05/2009,7-May-2009,07/05/2009,Confirmed,Highly pathogenic avian influenza,H5,"Domestic,chicken,",,5000,,5000,,
132406,30.424933,30.617138,Africa,Egypt,Al Buhayrah (behera),Adnan Madani Village (Alsadat district),Unknown,07/05/2009,7-May-2009,08/05/2009,Confirmed,Highly pathogenic avian influenza,H5,"Domestic,chicken,",,23,,23,,
132409,29.825055,31.237321,Africa,Egypt,Al Jizah (giza),Kum Alhawa village (Albadrashein district),Unknown,08/05/2009,8-May-2009,11/05/2009,Confirmed,Highly pathogenic avian influenza,H5,"Domestic,chicken,",,10000,,10000,,
132550,31.1693077,31.6939354,Africa,Egypt,Al Daqahliyah (dakahlia),Al Daqahliyah (dakahlia),Unknown,09/05/2009,9-May-2009,22/05/2009,Confirmed,Highly pathogenic avian influenza,H5N1,Human,,,,,,
132548,31.0270634,32.0510521,Africa,Egypt,Ash Sharqiyah (sharkia),Ash Sharqiyah (sharkia),Unknown,10/05/2009,10-May-2009,22/05/2009,Confirmed,Highly pathogenic avian influenza,H5N1,Human,,,,,,
